goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkFillCookiejarStack/1-4         	  200000	     10311 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  200000	     11042 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  200000	     10844 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  200000	     11163 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  200000	     11019 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  200000	     10795 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  200000	     10431 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/1-4         	  200000	     11569 ns/op	   65696 B/op	       4 allocs/op
BenchmarkFillCookiejarStack/10-4        	  100000	     12051 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  100000	     10960 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  200000	     11283 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  200000	     11075 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  200000	     11297 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  200000	     12567 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  100000	     12685 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  200000	     10589 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  200000	     10406 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/10-4        	  200000	     10381 ns/op	   65840 B/op	      13 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     13176 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     13194 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     13220 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     13451 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     13812 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     14086 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     15064 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     14443 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     13739 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/100-4       	  100000	     14895 ns/op	   67280 B/op	     103 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     52647 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     42606 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     44764 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     44540 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     43859 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     45845 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     41886 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     45212 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     43325 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/1000-4      	   30000	     42541 ns/op	   81680 B/op	    1003 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    348835 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    345609 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    342881 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    341738 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    352307 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    340435 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    341763 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    341566 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    340127 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/10000-4     	    5000	    348263 ns/op	  356880 B/op	   10007 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3769727 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3742664 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3927011 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3650992 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3719176 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     300	   3706820 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3858249 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3614868 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3722917 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/100000-4    	     500	   3614713 ns/op	 3246592 B/op	  100051 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  46726666 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  47407947 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  45240467 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  45336995 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  47245063 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  47151259 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  47471605 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  47665850 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  46161958 ns/op	32830144 B/op	 1000491 allocs/op
BenchmarkFillCookiejarStack/1000000-4   	      30	  50201313 ns/op	32830144 B/op	 1000491 allocs/op
